Tent,Brand,Model,Walls,Packed Weight (oz),Length (in),Head Width (in),Foot Width (in),Height (in),Packed Size (in),Doors,Price,Vestibule Area (sq ft),Floor Area (sq ft),Inner Material,Type,
,Terra Nova,Solar Ultra 2,2,16,88.5,51,33,39.4,6 x 15.75,1,1620.00,,25.7,Fabric,Freestanding,
,Bear Paw WD,Beard Den 2 Cuben w/Vest + Floor,1,19.5,94,38,38,48,,1,564,,24.8,Mesh,Trekking Poles,
,ZPacks,Duplex,1,22.8,90,45,45,48,7 x 13,2,659,,28.1,None,Trekking Poles,
,ZPacks,Triplex ,1,26.4,90,60,60,48,,2,699.00,,37.5,Mesh,Trekking Poles,
,Mountain Laurel Designs,Duomid Cuben Fiber,2,26.6,87,47,47,42,,1,730,,28.4,Mesh,Trekking Poles,
,Mountain Laurel Designs,Duomid XL Cuben Fiber,2,28,90,48,48,48,,1,970,,28.4,Mesh,Trekking Poles,
,Six Moon Deisgns,Cuben Haven T + N,2,28.5,88,44,44,45,,2,638,,26.9,Mesh,Trekking Poles,
,Big Sky,Cubic Soul 2P,1,29.3,85,53,47,42,,,853.00,,,,,
,Bear Paw WD,Beard Den 2 SilNylon w/Vest+Floor,1,30,94,38,38,48,,1,334,,24.8,Mesh,Trekking Poles,Comments on quality
,Bear Paw WD,AT 2,1,31.76,86,55,53,50,,1,269.00,,,Mesh,Trekking Poles ,
,Big Agnes,Fly Creek Platinum 2,2,32,86,52,42,38,5 x 19,1,410.00,7,28,Mesh,Guys,
,BearPaw WD,Cuben Canopy Tent+Net w/Sides+Vestibule,2,32.5,86,52,52,40,,1,705,,31.1,Mesh,Trekking Poles,
,Mountain Laurel Designs,Duomid Silnylon,2,33.6,87,47,47,42,,1,455,,28.4,Mesh,Trekking Poles,
,Terra Nova,Solar Photon 2,2,34,88.5,51,33,39.4,6 x 15.75,1,275.00,7,25.7,Fabric,Freestanding,
,HyperLite Mountain Gear,Echo II Ultralight shelter system,2,34.6,84,52,45,41,,1,586,,24,Mesh,Trekking Poles,
,MSR ,Carbon Reflex 2,2,35,84,50,50,34,5 x 17,2,500.00,14,29,Mesh,Guys,
,TarpTent,MoTrail,2,36,84,52,52,47,4 x 16,1,259.00,,30.3,,,
,Six Moon Designs,Haven Tarp + Net,2,36.5,88,44,44,45,,2,350.00,,26.9,Mesh,Trekking Poles,
,Mountain Laurel Designs,Duomid XL Silnylon,2,37,90,48,48,48,,,565,,28.4,Mesh,Trekking Poles,
,Big Agnes,Flycreek HV UL 2,2,37,86,52,42,40,4 x 19,1,305.00,8,28,Mesh,Guys,
